"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TORONTO TRANSIT COMMISSION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"       ANALYSIS OF RIDERSHIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"     1985 TO 2017 ACTUALS (000'S)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","     BUS","261,113 ","252,899 ","238,943 ","245,292 ","239,968 ","234,582 ","223,269 ","219,855 ","218,545 ","215,997 ","216,341 ","206,526 ","209,891 ","201,954 ","195,817 ","207,392 ","205,762 ","203,234 ","196,785 ","195,720 ","196,056 ","188,070 ","192,497 ","191,020 ","189,060 ","192,495 ","189,150 ","202,681 ","198,078 ","208,057 ","203,400 ","188,912 ","192,690 "
"","  SUB-TOTAL","261,113 ","252,899 ","238,943 ","245,292 ","239,968 ","234,582 ","223,269 ","219,855 ","218,545 ","215,997 ","216,341 ","206,526 ","209,891 ","201,954 ","195,817 ","207,392 ","205,762 ","203,234 ","196,785 ","195,720 ","196,056 ","188,070 ","192,497 ","191,020 ","189,060 ","192,495 ","189,150 ","202,681 ","198,078 ","208,057 ","203,400 ","188,912 ","192,690 "
"","RAIL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","     SUBWAY","213,012 ","221,622 ","228,129 ","219,849 ","217,250 ","216,101 ","213,280 ","199,131 ","199,321 ","196,004 ","191,338 ","181,736 ","174,046 ","169,501 ","163,736 ","163,446 ","164,214 ","158,277 ","150,531 ","147,369 ","143,751 ","142,081 ","148,349 ","151,214 ","153,020 ","158,658 ","164,714 ","179,815 ","177,302 ","178,577 ","174,963 ","166,892 ","161,914 "
"","     S.R.T.","3,177 ","2,951 ","3,352 ","4,254 ","4,661 ","4,667 ","4,766 ","4,232 ","4,300 ","4,639 ","4,700 ","4,166 ","4,440 ","4,117 ","3,612 ","4,128 ","3,757 ","3,480 ","2,835 ","2,514 ","2,544 ","2,317 ","2,633 ","2,951 ","3,465 ","2,672 ","2,854 ","3,518 ","3,567 ","3,001 ","3,361 ","3,248 ","2,099 "
"","    TROLLEY COACH","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","1,805 ","1,077 ","13,814 ","16,117 ","15,403 ","15,217 ","17,828 ","17,771 ","17,355 "
"","     STREETCAR","55,914 ","60,607 ","63,581 ","65,420 ","63,315 ","58,657 ","58,904 ","54,139 ","49,067 ","50,060 ","47,390 ","52,116 ","42,843 ","42,527 ","42,247 ","40,573 ","46,260 ","45,567 ","42,442 ","43,086 ","37,532 ","39,962 ","44,673 ","43,067 ","46,135 ","49,349 ","53,635 ","57,103 ","56,376 ","58,623 ","57,332 ","64,189 ","58,102 "
"","  SUB-TOTAL","272,103 ","285,180 ","295,062 ","289,523 ","285,226 ","279,425 ","276,950 ","257,502 ","252,688 ","250,703 ","243,428 ","238,018 ","221,329 ","216,145 ","209,595 ","208,147 ","214,231 ","207,324 ","195,808 ","192,969 ","183,827 ","184,360 ","195,655 ","197,232 ","204,425 ","211,756 ","235,017 ","256,553 ","252,648 ","255,418 ","253,484 ","252,100 ","239,470 "
"","  SYSTEM TOTAL","533,216 ","538,079 ","534,005 ","534,815 ","525,194 ","514,007 ","500,219 ","477,357 ","471,233 ","466,700 ","459,769 ","444,544 ","431,220 ","418,099 ","405,412 ","415,539 ","419,993 ","410,558 ","392,593 ","388,689 ","379,883 ","372,430 ","388,152 ","388,252 ","393,485 ","404,251 ","424,167 ","459,234 ","450,726 ","463,475 ","456,884 ","441,012 ","432,160 "
"WHEN","WEEKDAY","424,155 ","424,117 ","423,808 ","423,269 ","416,297 ","406,913 ","395,578 ","379,810 ","374,908 ","374,765 ","368,917 ","357,814 ","348,600 ","340,549 ","332,551 ","339,780 ","343,611 ","334,198 ","320,592 ","317,972 ","311,422 ","305,983 ","318,839 ","319,087 ","324,529 ","334,515 ","350,714 ","379,987 ","374,024 ","385,093 ","382,917 ","369,295 ","358,947 "
"","WEEKEND/HOLIDAY","109,061 ","113,962 ","110,197 ","111,546 ","108,897 ","107,094 ","104,641 ","97,547 ","96,325 ","91,935 ","90,852 ","86,730 ","82,620 ","77,550 ","72,861 ","75,759 ","76,382 ","76,360 ","72,001 ","70,717 ","68,461 ","66,447 ","69,313 ","69,165 ","68,956 ","69,736 ","73,453 ","79,247 ","76,702 ","78,382 ","73,967 ","71,717 ","73,213 "
"","  SYSTEM TOTAL","533,216 ","538,079 ","534,005 ","534,815 ","525,194 ","514,007 ","500,219 ","477,357 ","471,233 ","466,700 ","459,769 ","444,544 ","431,220 ","418,099 ","405,412 ","415,539 ","419,993 ","410,558 ","392,593 ","388,689 ","379,883 ","372,430 ","388,152 ","388,252 ","393,485 ","404,251 ","424,167 ","459,234 ","450,726 ","463,475 ","456,884 ","441,012 ","432,160 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"* Please note ridership results for 2015 exclude the Free Rides allowance for Pan Am & Parapan Am games.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FINANCE DEPARTMENT - STATISTICS SECTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
